,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
128,Esperance,98,AU,1586642556,60,-33.87,121.9,69.8,18.34
129,Cercal,49,PT,1586642557,89,37.81,-8.67,59.0,8.01
130,Hasaki,75,JP,1586642504,93,35.73,140.83,46.4,10.29
131,Winnemucca,20,US,1586642560,25,40.97,-117.74,64.4,15.48
132,Mossamedes,0,AO,1586642561,61,-15.2,12.15,77.59,3.62
133,Sulechów,86,PL,1586642562,63,52.08,15.63,46.0,5.1
134,Antalaha,17,MG,1586642421,83,-14.9,50.28,76.77,11.88
135,Leiyang,5,CN,1586642565,88,26.4,112.86,45.86,3.8
136,Darnah,0,LY,1586642566,69,32.77,22.64,59.97,16.2
137,Hvolsvollur,51,IS,1586642567,80,63.75,-20.22,37.0,4.0
138,Gorin,41,RU,1586642568,85,51.2,136.67,33.51,2.08
139,San Cristobal,40,VE,1586642439,38,7.77,-72.22,93.2,20.8
140,Aranos,7,NA,1586642571,23,-24.13,19.12,75.36,13.53
141,Alekseyevskoye,100,RU,1586642572,86,55.31,50.11,37.4,11.18
142,Bud,1,US,1586642574,25,39.45,-86.18,64.0,10.29
143,Castle Rock,75,US,1586642575,11,39.37,-104.86,72.0,10.29
144,Faanui,56,PF,1586642576,77,-16.48,-151.75,82.6,12.66
145,Srīvardhan,10,IN,1586642578,70,18.03,73.02,79.79,2.86
146,Iqaluit,75,CA,1586642579,63,63.75,-68.51,26.6,13.87
147,Kavaratti,0,IN,1586642580,68,10.57,72.64,84.34,3.31
148,Marabba,20,SD,1586642581,11,12.35,32.18,86.23,16.24
149,Anan,90,JP,1586642583,76,33.92,134.65,51.01,8.05
150,Tura,0,IN,1586642462,32,25.52,90.22,72.18,4.45
151,Taoudenni,0,ML,1586642585,11,22.68,-3.98,89.58,4.83
152,Kaitangata,92,NZ,1586642514,62,-46.28,169.85,56.61,8.95
153,Narsaq,100,GL,1586642588,36,60.92,-46.05,44.6,39.15
154,Vostok,69,RU,1586642589,89,46.49,135.88,24.33,2.98
155,Douentza,64,ML,1586642591,23,15.0,-2.95,91.63,9.8
156,Constitución,60,CL,1586642592,65,-35.33,-72.42,60.35,13.62
157,Margate,34,GB,1586642410,81,51.38,1.39,57.99,3.36
158,Karasjok,94,NO,1586642595,68,69.47,25.51,28.4,13.87
159,Bilma,100,NE,1586642596,14,18.69,12.92,81.48,5.97
160,Flin Flon,75,CA,1586642597,44,54.77,-101.86,21.2,12.75
161,Yabrūd,20,SY,1586642599,87,33.97,36.66,50.0,13.87
162,West Wendover,75,US,1586642517,22,40.74,-114.07,68.0,19.46
163,Codrington,98,AU,1586642601,71,-38.27,141.97,53.02,11.23
